class,text
1,sweet just nation ironi unit video fej2v3oubr time noreligion imagin christma
1,talk ask angel noth sarcasm escobar hardli rumor agent
1,weather minnesota nice winter
0,die episod left
1,annual breath ironi releas librarian notabl year quot list univers chosen yale
0,never pajama footi elzgqsx elzgqsx2yq
1,make light noth see get tree like light break happier highway christma
0,beer first open gonna night long
0,daughter would think deserv knock support rice
0,open allow christma
1,
0,instead
0,bloodi chang get 😡 upstair
0,colour understand differ underli cheek suffus textur cold warmth pink tone
1,just text arriv bill great mobil
1,never crush realiz great sarcasm interest
1,harrington buffalo where offer busgaglia smarter insight els media qualiti sarcasm sport
0,time food workingout also went feed lost eat pound guess
1,trade defens trade sarcasm brilliant
1,tri find
1,pleas second hand embarrass desperatli need sarcasm phone
0,never care beyonc
1,book time ironi
0,elektrikbloom elektrikfantasi thx4flw flwthemus iwant2drift elev8theunderground
1,morn winter feel everrrrrrr 😬 cold love best
0,shell they money bhpbilliton south32 neiozunbld decent own amazingli go
0,nicolescherzing quel myqueen wish onelov told ❤ quel09fqyr could myfav
0,rain 😅 extra made lazi
0,27th great year summari june
0,
1,never someth been muslim life knew whole somehow halal learn could guess
1,work sarcasm start wonder
0,life whole feel like wait
0,😁 know will thank morn kid
1,lester royal screw sure happi guy
0,aussi terrorist gunman list watch
1,social techtalk ironi limit platform sprig sillyvin 0dmkcxpyzq video editorspick twig
0,call fire achiev ball gone serious guy
1,anoth work 😐
1,want iwanttosleep therapi friday physic
1,truefriend tell town 😱
1,what thought real
1,bulli hypocrisi ironi kati call brand hahahaha dz05xhiuwl russel hopkin
1,moment much open that tumblr product stuff
0,👭 crazy ☺ sleepi enjoy sheneverleft talk
1,
1,when poison sell ironi apothecari naturopath herb noxiou apothecari poison aromat herb naturopath
0,goal goal w1p9bptdt3 manutd sammel arsen season 1970
0,realli
0,think crime safe
1,right late dress imposs start stude sarcasm univers lazi
1,when fantasticfriday run late start alreadi
1,ironi decid free left becom boss time whatsoev
0,protect loyalti self
0,play american summer2k14 start kennychesney miss super kid
0,measur paramet world know monsanto sustain posit among sure
0,none
0,idpwd peopl understand funni disabl stare disabl
1,might concern stupid shit mouth girli better think shut
0,speed tool necessari feel mouth dentist touch high tongu
0,quintessenti hyde tell paid aussi sadbuttru oversea govt onlin
0,kevin move fadeway durant dirk tri steal leg
1,sf9o6owe1v about nutti littl marmalad orang reach livingontheedg sarcasm
1,roger
1,guano happen ironi make ape whatev japan ever
0,slow feel hell design dinero sexi delfxn quarter delfxn0bpi mile
0,delic pride thing allow guard vaniti humil
0,whenev thing go
1,shortli ironi ask enemi friend protect 💯 naah 😳 start lose
1,just ironi hope deliv hmmm kdx0fhvqcw cronut custom
1,still praisehim ironi such
0,9tuskhvybj wanna rockstar vscocam hero vsocam heyi spiderman
1,tweet moment first fakefan
0,museum part night depan mustwatchb4decemberendssobssob tahon wtvr mockingjay rac6xds56z 2015
1,nice import ambul servic
1,week justkid final love sarcasm stress
0,fuck copycat
0,woke justshootmeknow store know cri thestartoftechweek liter readi
0,glare numer pick trade backward disagre hole becaus posit three
1,make better
0,tudor iloveit earlier watch start
0,start cpjzkegne7 money social media cpjzkegn 8icpdcaonq christma gift make
0,say sum1 live everytim inspir wheelchair dude react
0,zitwyuzn tahn made gift guid zitwyuzn6a
0,😴 lunch sleepi break
1,thegrind fde2iqpuqz myhappyfac busi work train london
1,hard said dude better think
0,howthegrinchstolechristma yij6tihmsm part ritual christma
0,todayimlov daek2dajbg crescenthead beachwalk overcast daek creso
0,2014 batteri dead enough stupid fast
1,go needmorecoffe alreadi wonder sarcasm even
1,idea
1,russel good fella christian
0,kid think youth group nomal appar dbars2xxta dbar express areyoukiddingm default face
1,
0,turkey interview 8ftstaota1 thanksgiv
1,last happen plan gotinterupt night earli cours
1,last though retweet ironi
1,match
1,bein short feet sweatpant 💩 lovee
1,saturday wake midnight love morn go
1,sarcasm rule
0,kind bull nurkic talent mcdermott amaz gari jusuf harri clearli denver
0,thesi 😩 progress prepar event even thursday
1,reeeaaalll imgoingtostruggl date gonna nice vsfs2014 tomorrow
0,keep even zing pull scare soni light countri better motel night even movi
0,guardiansofthegalaxi chestnut water dinner pick nice hour watch take ad chines
0,moment bear franchis probabl footbal worst
1,😑 like chanc ruin peopl peopl boy chicago meet mani airport ever piss
0,liter texas2015 hell frozen
1,name hrysvylpbi answer ironi pictur question write take busi paper
0,winter getthisoutofmyhead 🎶 world marshmallow
1,raini somuchfun take cold yaaaay street dentist dark bike
1,read ironi moneygal sqcieturpr barack obama plaza
0,hahahahah tire face
1,want turkey
0,small happi servic
0,word right choos care feel hurt someon
1,what detail commun respons custom sarcasm thank joke
0,😃 😇 decemb asalamoalekum 2013 thank alreadi kesay mizaj post much
0,artsi ct85mmtf5h studentlif tonight apart vienna feel homealon
0,momgoal say grung pictur lte1ngodmk show love haha goe
0,calciopoli inter juventu went explain
0,come pray save back america
0,yoj9hvua8n women appoint debat bishop reverend libbi lane
0,like talk treat shit someon drink
0,success ensur invest provid vslrbiohyr real estat structur
0,die tell afghan obama watch liber iraq ever
1,ironi lame yeah tweet look sick
1,sleep doubl work hour
1,sarcasm year love time r6utbrxvru
1,havent news sleep week good feel great night sarcasm
0,sarcasm wokwevdvrp pure realiti
0,enjoy mobilecov fbddxmien9 fbddxmien everi chang
1,loooooov woohoo more anniversari year client happi super
0,music balanc thing life caus seem medicin
0,someth mean smear ferguson barkley guess
0,agbaj fine landmark public test mcnlrzffao notabl respect jimi achiev servic
1,whitewin thing need good enough chardsohard christmastre fashion surviv sarcasm
0,delay happi
1,part winter drive
0,live close friend citi day miss
1,athlet russian perform surpris claim drug take enhanc
0,sarcasm
1,support shoutout hella sarcasm
1,govt ironi flag nisar isi admit also
1,funni
0,thing instagram want period like vqwdoxb2ru person vqwdoxb post relat
0,right desk nkxymio8v6 littl analscreen offic nkxymio brunett tight exot butt nail get
1,press numer name get confer fighter time sarcasm tomorrow
0,boat fish terror high sea
0,holiday matter hell hbofxwvqp work
1,strip 😂 driver tell listen joint get truck like dad ladi sarcasm go
0,hate pleas format back
0,jessica week 🙌 niec joke
0,play serious bought giant
1,say fuck truegentlemen haha someon
0,might much hope want hall chang start consist trade eventu messag well
0,that ironi though
0,like never said first care enough that watch sequel
0,zstyqirut5 zstyqirut vacat work enough blue day
0,gloucestershir illeg trigger badger patrol rf5aampc5n trap crusad continu fear
0,murder plastic park old gun public instantli also year fake support
0,said 😲 😂 aunti she call better dress
1,ahhh bedtim
0,piccollag chill j3z63mwkht chistma georgia nerd nerd comfi sillybilli
0,hotel think owner
0,axd3ax5qc1 bestfriend want travel world ✈ 🌏 done ❤ travel
1,second fan thank again come
0,when unkind friend return call label kind
0,nwhiep4vwz understand dont stubborn sometim anyth nwhiep
0,😘 thing that cutest 😍 ever
1,bigbootybitch love sarcasm anymor jean
1,ironi thing lucki mean fortun
0,enjoy 😘 husband awhil everi 😍 steal heyyal goodmorn 😳 lknoom7vsb lknoom
0,make histori bait context tweet clear
0,twice thing differ insan expect result
1,sleep love life hour
1,
0,wait beta bfhardlin play epic
1,remain pride tweet say contempl sure sarcasm respond well
1,hour sound have four great
1,signal major failur district line fantast delay sarcasm
1,sure well
0,countri edit music photo
1,ironi micromax axg11utgod promis servic
0,hard pleasur gzh8oqft9i decemb girl pain love dream strong choos
1,rais thought would motiv adrian mayb made
1,mari exclaim littl toe finger perfect count heard
1,name peopl follow squad secret like ruin giveitup time lizard sarcasm billion
1,fail money ironi sexist daili wast recommend accompani articl cycl cost handbag
0,ironi definit tweet flip phone
1,game domin ironi black school play coupl
0,forget start night food tonight steak foodi join
0,last rememb actual seen love think tri year ever
0,
0,surubaya permiss towercontrol ask away qz8501 yeah takeoff
0,answer artist winsunburnpass more
1,provinc play like
0,without 🙊 celebr birthday church feel would stoleem sign thereasonfortheseason
1,mail michiganman just word instead say carrier sexist sarcasm
1,right blind know sarcasm read
0,cop ambulanc elit wont talk yeah kill bodi immedi finest
1,love weather
0,ironi spelt thing wrong psssst
0,zchdgjzrhq fbcjax what qhjferumw sabbath follow jesu qhjferumw1 christ
0,teguis lanzarot funni tough kitsch costa 3d5qjiyh0z
0,sein map want realli riot would poll back 😭 cross go exclud
1,😩 shift hour love
1,right whole thing women fight misogyni hang
1,
0,saint balvsmia over noon seavsphi
1,talk bitch ironi use hack like soni talk aaron media sorkin goe
0,argument insan
1,fergusonriottip rememb
0,lavashak like smell finger
